Unix,BTC_Open,BTC_High,BTC_Low,BTC_Close,ETH_Open,ETH_High,ETH_Low,ETH_Close,UNI_Open,UNI_High,UNI_Low,UNI_Close,CRV_Open,CRV_High,CRV_Low,CRV_Close
1619913600000,57797.35,57911.02,56035.25,56578.21,2944.83,2985.0,2852.26,2949.56,40.346,43.303,39.2,42.62,3.408,3.419,3.091,3.279
1620000000000,56578.21,58981.44,56435.0,57169.39,2949.33,3454.0,2949.32,3431.04,42.619,45.0,41.2,42.277,3.276,3.378,3.18,3.245
1620086400000,57169.39,57200.0,53046.69,53200.01,3431.04,3527.0,3160.0,3239.01,42.282,44.631,39.52,43.108,3.245,3.249,2.807,2.821
1620172800000,53205.05,58069.82,52900.0,57436.11,3239.01,3549.34,3200.23,3524.26,43.091,44.9,41.497,42.423,2.826,3.15,2.744,3.095
1620259200000,57436.11,58360.0,55200.0,56393.68,3524.33,3605.4,3376.47,3489.73,42.409,42.537,39.732,40.222,3.095,3.42,3.017,3.242
1620345600000,56393.68,58650.0,55241.63,57314.75,3489.74,3587.0,3353.23,3479.53,40.224,41.377,38.27,39.74,3.24,3.9,3.109,3.65
1620432000000,57315.49,59500.0,56900.0,58862.05,3479.79,3958.33,3449.27,3910.26,39.733,41.26,38.55,40.498,3.653,3.969,3.463,3.566
1620518400000,58866.53,59300.0,56235.66,58240.84,3910.26,3983.65,3726.08,3923.95,40.48,40.722,38.064,39.43,3.568,3.6,3.245,3.447
1620604800000,58240.83,59500.0,53400.0,55816.14,3923.95,4208.0,3650.0,3945.88,39.422,41.168,33.46,36.372,3.448,3.698,2.8,3.089
1620691200000,55816.14,56862.43,54370.0,56670.02,3946.63,4180.22,3771.64,4173.45,36.378,38.544,35.448,38.515,3.09,3.348,2.957,3.312
1620777600000,56670.02,58000.01,48600.0,49631.32,4173.46,4372.72,3701.58,3823.21,38.519,44.044,35.714,36.87,3.31,3.889,3.147,3.326
1620864000000,49537.15,51367.19,46000.0,49670.97,3810.15,4034.77,3500.0,3717.91,37.079,40.328,33.905,37.345,3.311,4.264,3.0,3.366
1620950400000,49671.92,51483.0,48799.75,49841.45,3717.92,4173.28,3691.35,4075.01,37.341,40.888,37.112,40.4,3.367,3.833,3.311,3.677
1621036800000,49844.16,50700.0,46555.0,46762.99,4075.02,4134.05,3632.0,3646.68,40.406,42.4,36.505,36.607,3.681,3.9,3.157,3.219
1621123200000,46762.99,49795.89,43825.39,46431.5,3646.24,3879.0,3343.06,3582.1,36.593,39.418,34.5,36.598,3.216,3.5,3.0,3.272
1621209600000,46426.83,46686.0,42001.0,43538.04,3581.81,3587.06,3102.0,3282.51,36.597,36.597,31.781,33.232,3.272,3.274,2.85,3.08
1621296000000,43538.02,45799.29,42250.02,42849.78,3282.25,3565.71,3240.0,3375.07,33.251,36.63,32.974,35.028,3.088,3.605,3.036,3.489
1621382400000,42849.78,43584.9,30000.0,36690.09,3375.08,3441.73,1888.0,2438.92,35.009,35.5,16.0,23.169,3.492,3.579,1.5,1.943
1621468800000,36671.23,42451.67,34850.0,40526.64,2438.92,2990.05,2155.0,2768.62,23.118,28.457,20.0,26.333,1.952,2.435,1.623,2.202
1621555200000,40525.39,42200.0,33488.0,37252.01,2767.87,2938.54,2101.0,2430.98,26.347,27.951,18.819,21.945,2.203,2.345,1.521,1.846
1621641600000,37263.35,38829.0,35200.62,37449.73,2430.98,2485.0,2145.0,2294.87,21.943,22.624,18.372,20.338,1.844,1.994,1.54,1.628
1621728000000,37458.51,38270.64,31111.01,34655.25,2295.45,2381.57,1728.74,2096.39,20.371,21.308,13.0,16.709,1.629,1.712,1.057,1.32
1621814400000,34681.44,39920.0,34031.0,38796.29,2096.63,2675.0,2079.94,2648.43,16.709,25.18,16.493,24.684,1.319,1.65,1.274,1.626
