,Unix,open,high,low,close,EMA_50,EMA_200,RSI
164,1618358400000,3.12,3.299,2.976,3.156,2.758090308882951,,54.68664606930229
165,1618444800000,3.156,4.15,3.138,4.028,2.807955806800658,,67.6038353708796
166,1618531200000,4.029,4.65,3.683,3.91,2.851227517414246,,64.90742253789344
167,1618617600000,3.913,4.34,3.75,3.784,2.8878509784782675,,62.060951929055875
168,1618704000000,3.784,3.868,2.4,3.223,2.9010093171459177,,51.27835390385551
169,1618790400000,3.22,3.482,2.769,2.821,2.8978682015404815,,45.21595431072464
170,1618876800000,2.822,3.1,2.57,3.027,2.9029376134855456,,48.57133343505906
171,1618963200000,3.026,3.162,2.822,2.887,2.902311966369726,,46.48747159424849
172,1619049600000,2.889,3.31,2.672,2.752,2.8964115562281334,,44.50464535911479
173,1619136000000,2.755,2.858,2.224,2.641,2.886385910290216,,42.88497086371844
174,1619222400000,2.641,2.648,2.349,2.376,2.866352525517407,,39.21562137549472
175,1619308800000,2.374,2.55,2.195,2.382,2.847341668544453,,39.342171005895274
176,1619395200000,2.384,2.838,2.347,2.781,2.844737844723517,,47.21271189432653
177,1619481600000,2.777,3.198,2.71,3.128,2.855855147309233,,52.93250200256663
178,1619568000000,3.127,3.213,2.812,3.036,2.862925139862752,,51.34401521958921
179,1619654400000,3.036,3.249,2.891,3.022,2.8691680260489436,,51.09274252916896
180,1619740800000,3.02,3.393,2.956,3.338,2.887566778559383,,56.2922011618702
181,1619827200000,3.338,3.49,3.167,3.403,2.9077937726912895,,57.29784810032812
182,1619913600000,3.408,3.419,3.091,3.279,2.9223605157796664,,54.711663440922706
183,1620000000000,3.276,3.378,3.18,3.245,2.9350210913089656,,53.99206032511232
184,1620086400000,3.245,3.249,2.807,2.821,2.9305469438262,,45.88671207665645
185,1620172800000,2.826,3.15,2.744,3.095,2.9369998692331407,,51.005407816871205
186,1620259200000,3.095,3.42,3.017,3.242,2.9489674047125978,,53.544308859496304
187,1620345600000,3.24,3.9,3.109,3.65,2.9764737761893825,,59.77481326518058
188,1620432000000,3.653,3.969,3.463,3.566,2.9996044877065446,,58.048656398957256
189,1620518400000,3.568,3.6,3.245,3.447,3.0171581856310272,,55.599128582542626
190,1620604800000,3.448,3.698,2.8,3.089,3.019976865606013,,48.912180161881686
191,1620691200000,3.09,3.348,2.957,3.312,3.0314340407381453,,52.72623310827251
192,1620777600000,3.31,3.889,3.147,3.326,3.0429907712825117,,52.963649566150295
193,1620864000000,3.311,4.264,3.0,3.366,3.0556631985096163,,53.6794321478375
194,1620950400000,3.367,3.833,3.311,3.677,3.0800393249549742,,58.91448771664073
195,1621036800000,3.681,3.9,3.157,3.219,3.085490907068359,,49.95966991778079
196,1621123200000,3.216,3.5,3.0,3.272,3.0928077537105194,,50.889921361384246
197,1621209600000,3.272,3.274,2.85,3.08,3.0923053064613875,,47.44868568704543
198,1621296000000,3.088,3.605,3.036,3.489,3.1078673888944253,,54.5060571509004
199,1621382400000,3.492,3.579,1.5,1.943,3.0621710017366084,2.4588143212590636,35.240765347336264
200,1621468800000,1.952,2.435,1.623,2.202,3.028427941555063,2.4558635980022663,39.12280876857384
201,1621555200000,2.203,2.345,1.521,1.846,2.98204387002335,2.4488672100158326,35.93419768622236
202,1621641600000,1.844,1.994,1.54,1.628,2.928928324122026,2.43946448635945,34.101318360380304
203,1621728000000,1.629,1.712,1.057,1.32,2.865815073643566,2.426660705419176,31.64539218181752
204,1621814400000,1.319,1.65,1.274,1.626,2.8171815319008777,2.4175168144134562,36.53562504381767
205,1621900800000,1.628,1.705,1.389,1.612,2.7699070497523968,2.408330969419839,36.40729114064736
206,1621987200000,1.611,1.93,1.574,1.894,2.7355490522671713,2.4024742229477436,40.90971813160159
207,1622073600000,1.893,1.932,1.648,1.757,2.6971652398604435,2.39513467897077,39.448464512210904
208,1622160000000,1.756,1.793,1.5,1.589,2.6536976174593305,2.3859813032802633,37.671473941001054
209,1622246400000,1.59,1.753,1.48,1.742,2.617936737265934,2.3786793769483303,40.30861585891978
210,1622332800000,1.74,1.8,1.615,1.679,2.581107740786764,2.37075690568156,39.566271229454735
211,1622419200000,1.679,1.968,1.599,1.956,2.556588627843467,2.3660670502578536,44.413575978092275
212,1622505600000,1.956,2.08,1.784,2.05,2.536718448746997,2.3624979724663793,45.99655502533967
213,1622592000000,2.049,2.518,1.983,2.333,2.5287279605878616,2.3621653232037163,50.56130210714076
214,1622678400000,2.333,2.747,2.297,2.503,2.527718835384132,2.363751414465972,53.124534692922964
215,1622764800000,2.502,2.788,2.152,2.686,2.5339270367637394,2.367375848865342,55.78222705719782
216,1622851200000,2.681,2.9,2.4,2.531,2.533812231519598,2.3692137988229596,53.03925235460228
217,1622937600000,2.529,2.621,2.402,2.457,2.5307994957768924,2.3701986166547164,51.73138187353582
218,1623024000000,2.458,2.573,2.119,2.151,2.51590306361106,2.3677426805213573,46.61282897692837
219,1623110400000,2.151,2.379,1.982,2.315,2.508023325752911,2.3671524832019855,49.496977313893126
220,1623196800000,2.314,2.584,2.162,2.525,2.5086891740005224,2.3689166297117086,52.99846689951983
221,1623283200000,2.525,2.54,2.21,2.265,2.4991314074710314,2.367756651530357,48.513712036152995
